trade_date,ticker,side,setup,impulse_type,signal_time_ist,entry_time_ist,entry_price,sl_price,target_price,exit_time_ist,exit_price,outcome,pnl_pct,pnl_pct_gross,adx_signal,rsi_signal,stochk_signal,avwap_dist_atr_signal,ema20_gap_atr_signal,atr_pct_signal,quality_score,india_vix,stop_price,pnl_pct_price,pnl_pct_gross_price,position_size_rs,leverage,notional_exposure_rs,pnl_rs,pnl_rs_gross
2025-08-26,GODIGIT,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 10:00:00+05:30,2025-08-26 10:15:00+05:30,362.12757220458985,364.8435289961243,357.7820413381348,2025-08-26 12:48:00+05:30,357.7820413381348,TARGET,5.2,6.0,29.621471405029297,25.82086944580078,4.94727087020874,1.3638084927834775,3.110931549608685,0.005206797865582035,0.5429885573125479,0.0,364.8435289961243,1.04,1.2,50000.0,5.0,250000.0,2600.0,3000.0
2025-08-26,RTNINDIA,LONG,A_MOD_BREAK_C1_HIGH,MODERATE,2025-08-26 10:30:00+05:30,2025-08-26 10:45:00+05:30,54.93000106811523,54.51802606010437,55.75395108413696,2025-08-26 10:46:00+05:30,55.75395108413696,TARGET,6.69999999999998,7.499999999999979,41.411888122558594,89.42911529541016,72.20340728759766,1.9453307941615188,3.258399684802689,0.008586543296083554,7.594197908111365,0.0,54.51802606010437,1.3399999999999959,1.4999999999999958,100000.0,5.0,500000.0,6699.999999999979,7499.999999999979
2025-08-26,JSWINFRA,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 11:30:00+05:30,2025-08-26 11:45:00+05:30,298.24032779541017,300.47713025387577,294.6614438618652,2025-08-26 15:30:00+05:30,296.29998779296875,EOD,2.4529806025636987,3.2529806025636985,42.86796951293945,36.79954528808594,13.74048137664795,1.0677195737910299,2.0814912326621933,0.004992593150486347,0.6898704681075221,0.0,300.47713025387577,0.49059612051273976,0.6505961205127397,50000.0,5.0,250000.0,1226.4903012818495,1626.4903012818493
2025-08-26,METROPOLIS,SHORT,A_PULLBACK_C2_THEN_BREAK_C2_LOW,MODERATE,2025-08-26 11:30:00+05:30,2025-08-26 12:00:00+05:30,2136.7725111816408,2152.798305015503,2111.131241047461,2025-08-26 13:31:00+05:30,2152.798305015503,SL,-4.549999999999994,-3.7499999999999947,41.6338996887207,25.63772964477539,14.756274223327637,1.2555793254660046,2.493551501142543,0.004919628492743465,0.7042348772873612,0.0,2152.798305015503,-0.9099999999999988,-0.7499999999999989,50000.0,5.0,250000.0,-2274.9999999999973,-1874.9999999999973
2025-08-26,RALLIS,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 12:45:00+05:30,2025-08-26 13:00:00+05:30,363.9272,366.65665400000006,359.5600736,2025-08-26 14:35:00+05:30,366.65665400000006,SL,-4.550000000000044,-3.7500000000000444,63.97438430786133,24.443946838378906,3.2163026332855225,2.643904091548523,3.0258578973008143,0.0064578801908560645,0.96,0.0,366.65665400000006,-0.9100000000000088,-0.7500000000000089,50000.0,5.0,250000.0,-2275.000000000022,-1875.0000000000223
2025-08-26,SWANCORP,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 12:45:00+05:30,2025-08-26 13:00:00+05:30,464.5070861022949,467.99088924806216,458.93300106906736,2025-08-26 13:47:00+05:30,458.93300106906736,TARGET,5.200000000000024,6.000000000000024,27.060073852539062,42.39274215698242,6.398364067077637,1.7771651134637612,2.299321896330103,0.007479551486359082,0.5769050026442442,0.0,467.99088924806216,1.040000000000005,1.2000000000000048,50000.0,5.0,250000.0,2600.0000000000123,3000.0000000000123
2025-08-26,UDS,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-26 13:30:00+05:30,2025-08-26 13:45:00+05:30,250.69985,252.580098875,247.69145179999998,2025-08-26 14:36:00+05:30,247.69145179999998,TARGET,5.200000000000032,6.000000000000032,27.975566864013672,28.088281631469727,10.319486618041992,3.781717802770256,3.5937787401483137,0.005224052425527195,0.6296335029602051,0.0,252.580098875,1.0400000000000065,1.2000000000000064,50000.0,5.0,250000.0,2600.0000000000164,3000.000000000016
2025-08-28,PDSL,LONG,A_MOD_BREAK_C1_HIGH,MODERATE,2025-08-28 10:00:00+05:30,2025-08-28 10:15:00+05:30,331.3662477905273,328.8810009320984,336.3367415073852,2025-08-28 11:49:00+05:30,328.8810009320984,SL,-4.549999999999951,-3.749999999999951,29.737794876098633,78.43855285644531,85.60650634765625,0.9677168882318505,3.2450296160779626,0.00827908582417453,6.152954201050161,0.0,328.8810009320984,-0.9099999999999902,-0.7499999999999902,100000.0,5.0,500000.0,-4549.999999999951,-3749.9999999999513
2025-08-28,FIEMIND,LONG,A_MOD_BREAK_C1_HIGH,MODERATE,2025-08-28 10:30:00+05:30,2025-08-28 10:45:00+05:30,2145.429,2129.3382825000003,2177.610435,2025-08-28 10:46:00+05:30,2177.610435,TARGET,6.699999999999992,7.499999999999992,29.828617095947266,79.1198501586914,94.11538696289062,2.376858287360772,3.7377842388411766,0.009272148006289192,7.9235815271900485,0.0,2129.3382825000003,1.3399999999999985,1.4999999999999984,100000.0,5.0,500000.0,6699.999999999993,7499.999999999992
2025-08-28,ABFRL,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-08-28 12:00:00+05:30,2025-08-28 12:15:00+05:30,79.85000152587891,80.448876537323,78.89180150756836,2025-08-28 14:04:00+05:30,78.89180150756836,TARGET,5.200000000000015,6.000000000000015,26.87228775024414,30.42933464050293,5.649050712585449,1.9915866798822965,2.6891910817308413,0.008189551902106802,0.6116119852330639,0.0,80.448876537323,1.0400000000000031,1.200000000000003,50000.0,5.0,250000.0,2600.0000000000077,3000.0000000000077
