fold,train_start,train_end,test_start,test_end,picked_scenario,test_score,test_sum_pnl_pct,test_pf,test_dd_pct,test_trades_per_day,test_daily_win_pct,test_notional_pnl_rs
1,2025-08-25,2025-10-30,2025-10-31,2025-11-14,hf_balanced_v1_verify,32.46359495968013,215.64969639680402,3.0747015309137775,19.756162079288828,11.1,80.0,200556.1679070766
2,2025-09-09,2025-11-14,2025-11-17,2025-11-28,hf_balanced_v1_verify,25.55546512738669,156.54473860777946,3.2791286214598374,12.16424212106027,9.5,100.0,122588.6653732483
3,2025-09-23,2025-11-28,2025-12-01,2025-12-12,hf_balanced_v1_verify,26.291555668705417,160.95488231706685,3.4786184895701155,11.5866747303882,9.0,80.0,135031.17569894018
4,2025-10-08,2025-12-12,2025-12-15,2025-12-29,hf_balanced_v1_verify,30.539348124877286,186.93101893970817,4.177726980646491,15.442943770749736,10.4,100.0,161680.8340426737
5,2025-10-24,2025-12-29,2025-12-30,2026-01-12,hf_balanced_v1_verify,37.36224383471783,237.04089038795328,3.5056374168119127,9.212729921754345,12.3,90.0,211482.99942454544
6,2025-11-10,2026-01-12,2026-01-13,2026-01-28,hf_balanced_v1_verify,37.74161466470025,239.91241193116414,3.9979331945492493,14.529495823744124,10.7,90.0,187228.66355869969
7,2025-11-24,2026-01-28,2026-01-29,2026-02-10,hf_balanced_v1_verify,58.69585019893776,373.7438120587228,6.580314709676984,7.319029077361961,11.6,100.0,322971.9014125807
8,2025-12-08,2026-02-10,2026-02-11,2026-02-24,hf_balanced_v1_verify,32.003842338645555,204.73477986424433,3.710481116282865,17.47606864751866,11.0,80.0,133277.09346542566
