fold,train_start,train_end,test_start,test_end,picked_scenario,test_score,test_sum_pnl_pct,test_pf,test_dd_pct,test_trades_per_day,test_daily_win_pct,test_notional_pnl_rs
1,2025-08-25,2025-10-30,2025-10-31,2025-11-14,quality_low_dd_1,32.795031679892986,219.36074170508732,3.0006699702921176,20.552580180703202,11.6,80.0,204837.4578896426
2,2025-09-09,2025-11-14,2025-11-17,2025-11-28,quality_low_dd_1,26.799289738749327,164.72978018464005,3.444489752878554,13.07076398498728,9.5,100.0,127466.96754104992
3,2025-09-23,2025-11-28,2025-12-01,2025-12-12,quality_low_dd_1,28.073328249325616,169.90532184056244,3.7103865233123767,9.594999687446652,9.0,80.0,140922.08418108214
4,2025-10-08,2025-12-12,2025-12-15,2025-12-29,quality_low_dd_1,29.611010918750402,183.15911708302147,3.6820927943266653,13.615678881507797,10.4,100.0,162491.90914338912
5,2025-10-24,2025-12-29,2025-12-30,2026-01-12,quality_low_dd_1,37.32079028095478,243.85654369883983,3.557301060773175,18.047934690410507,12.3,90.0,217542.78446565024
6,2025-11-10,2026-01-12,2026-01-13,2026-01-28,quality_low_dd_1,38.84847674772009,246.3606584354531,4.035180402742183,13.216591138925594,10.7,90.0,189825.88041517715
7,2025-11-24,2026-01-28,2026-01-29,2026-02-10,quality_low_dd_1,59.175251540378035,377.58817204750824,6.324488258374631,7.80910455227594,11.6,100.0,324548.0439188703
8,2025-12-08,2026-02-10,2026-02-11,2026-02-24,quality_low_dd_1,33.527619934655824,211.65250481018242,3.8000644453201806,13.78176079516627,11.0,80.0,137094.9346200535
