scenario,score,trades_per_day,short_trades_per_day,long_trades_per_day,sum_pnl_pct,profit_factor,max_drawdown_pct,daily_win_pct,short_sum_pnl_pct,long_sum_pnl_pct,notional_pnl_rs
quality_low_dd_1,431.8246156336544,11.136363636363637,6.5606060606060606,4.575757575757576,3068.524639107626,3.7137227356781874,27.730449397314032,91.66666666666666,811.0103857001081,2257.5142534075176,2663019.4462575717
long_bias_1,420.5787381250339,11.136363636363637,6.5606060606060606,4.575757575757576,2990.3324380260324,3.6520399047440293,29.579331218394373,91.66666666666666,773.3640353796773,2216.968402646355,2603650.4203361934
freq_balanced_2,419.6529865644551,11.136363636363637,6.5606060606060606,4.575757575757576,2983.904758499199,3.631338763286373,29.579331218394373,91.66666666666666,773.4641654447098,2210.440593054489,2597172.675776844
freq_long_1,419.568398499578,11.136363636363637,6.5606060606060606,4.575757575757576,2983.305278109329,3.6308101150501306,29.579331218394373,91.66666666666666,773.3640353796773,2209.9412427296515,2596623.2604194903
tight_stops_guard_m3,419.568398499578,11.136363636363637,6.5606060606060606,4.575757575757576,2983.305278109329,3.6308101150501306,29.579331218394373,91.66666666666666,773.3640353796773,2209.9412427296515,2596623.2604194903
baseline,419.568398499578,11.136363636363637,6.5606060606060606,4.575757575757576,2983.305278109329,3.6308101150501306,29.579331218394373,91.66666666666666,773.3640353796773,2209.9412427296515,2596623.2604194903
freq_long_2,419.568398499578,11.136363636363637,6.5606060606060606,4.575757575757576,2983.305278109329,3.6308101150501306,29.579331218394373,91.66666666666666,773.3640353796773,2209.9412427296515,2596623.2604194903
freq_balanced_1,419.5591123783343,11.136363636363637,6.5606060606060606,4.575757575757576,2984.137367585842,3.6227601789342354,30.480501803686593,90.9090909090909,773.9464496937721,2210.1909178920705,2597164.1427389565
short_bias_1,417.02370195323476,11.136363636363637,6.5606060606060606,4.575757575757576,2977.271085424633,3.4579519438736908,41.88150704289069,90.9090909090909,759.6807164315582,2217.5903689930747,2597430.7272088537
quality_low_dd_2,409.282331456557,11.136363636363637,6.5606060606060606,4.575757575757576,2909.363974988032,3.7124031924359215,29.88163082482542,91.66666666666666,731.4841133017173,2177.879861686315,2543621.9183371738
long_bias_2,342.4095482647679,9.51908396946565,6.6106870229007635,2.9083969465648853,2433.179043348995,3.548911477356918,29.579331218394373,87.78625954198473,773.3139703471611,1659.8650730018342,2046522.0581754146
