"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-1e91a69f-103226","1e91a69fab8921f6","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:32:26+0530","2026-03-16 10:40:42+0530","TIINDIA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","2398.42","2373.22","2419.78","2373.22","TARGET","25.2","1.0507","0.7135","0.0","1.0"
"PT-d42379a3-110243","d42379a3720b0f5b","2026-03-16 11:00:00+05:30","2026-03-16 11:00:00+05:30","2026-03-16 11:02:43+0530","2026-03-16 11:33:24+0530","TORNTPOWER","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","1434.09","1446.87","1446.87","1419.03","SL","-12.78","-0.8912","0.4793","0.0","1.0"
"PT-c0099a95-111613","c0099a95e2ec957e","2026-03-16 11:15:00+05:30","2026-03-16 11:15:00+05:30","2026-03-16 11:16:13+0530","2026-03-16 11:43:05+0530","GRINFRA","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","1","893.97","901.93","901.93","884.58","SL","-7.96","-0.8904","0.4861","0.0","1.0"
"PT-ed06a416-104739","ed06a416f79bcf9f","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:47:39+0530","2026-03-16 12:53:27+0530","AFFLE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","1315.18","1301.37","1326.89","1301.37","TARGET","13.81","1.05","0.5784","0.0","1.0"
"PT-8842ad2e-121745","8842ad2e634a43f6","2026-03-16 12:15:00+05:30","2026-03-16 12:15:00+05:30","2026-03-16 12:17:45+0530","2026-03-16 13:29:20+0530","BIGBLOC","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","49.76","49.21","50.18","49.21","TARGET","0.55","1.1053","0.22","0.0","1.0"
