"signal_id","signal_datetime","received_time","detected_time_ist","logtime_ist","ticker","side","setup","impulse_type","entry_price","stop_price","target_price","quality_score","atr_pct","rsi","adx","quantity","signal_entry_datetime_ist","signal_bar_time_ist"
"ef450b836ee46c19","2026-03-09 10:30:00+05:30","2026-03-09 10:41:55+0530","2026-03-09 10:41:55+0530","2026-03-09 10:41:55+0530","AUBANK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","919.25","926.14","908.22","0.6036","0.007402","15.08","32.48","271","2026-03-09 10:30:00+05:30","2026-03-09 10:30:00+05:30"
"312d4ce6b2e45daa","2026-03-09 11:00:00+05:30","2026-03-09 11:01:05+0530","2026-03-09 11:01:05+0530","2026-03-09 11:01:05+0530","MOL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","44.1","44.43","43.57","0.7139","0.011926","13.65","33.6","5668","2026-03-09 11:00:00+05:30","2026-03-09 11:00:00+05:30"
"ad4b36b922e3a8d7","2026-03-09 11:00:00+05:30","2026-03-09 11:01:23+0530","2026-03-09 11:01:23+0530","2026-03-09 11:01:23+0530","RELIGARE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","198.6","200.09","196.22","0.4661","0.008305","28.91","28.47","1258","2026-03-09 11:00:00+05:30","2026-03-09 11:00:00+05:30"
"4bc5038ba4719d2f","2026-03-09 11:00:00+05:30","2026-03-09 11:01:39+0530","2026-03-09 11:01:39+0530","2026-03-09 11:01:39+0530","TIMETECHNO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","166.41","167.66","164.41","0.6382","0.009363","17.54","36.19","1502","2026-03-09 11:00:00+05:30","2026-03-09 11:00:00+05:30"
"f67044f3a4df896c","2026-03-09 11:30:00+05:30","2026-03-09 11:34:41+0530","2026-03-09 11:34:41+0530","2026-03-09 11:34:41+0530","PUNJABCHEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1029.9","1037.62","1017.54","0.4893","0.009199","29.2","35.2","242","2026-03-09 11:30:00+05:30","2026-03-09 11:30:00+05:30"
