"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","filled_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","entry_order_id","target_order_id","sl_order_id","close_order_id","quality_score"
"LT-1e91a69f-103226","1e91a69fab8921f6","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:32:26+0530","2026-03-16 11:24:41+0530","TIINDIA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","2399.62","2377.8","2399.0","2398.0","2351.4","SL","-21.2","-0.8916","260316170618039","260316170618050","260316170618063","","0.7135"
"LT-68c32e69-104633","68c32e6920775704","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:46:33+0530","2026-03-16 11:17:12+0530","KKCL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","453.56","449.85","454.2","453.65","444.85","SL","-4.35","-0.967","260316170679239","260316170679253","260316170679258","","0.6902"
"LT-ed06a416-104739","ed06a416f79bcf9f","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:47:39+0530","2026-03-16 12:57:44+0530","AFFLE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","1315.84","1314.1","1299.6","1325.2","1299.6","TARGET","14.5","1.1034","260316170684021","260316170684029","260316170684034","","0.5784"
"LT-d42379a3-110243","d42379a3720b0f5b","2026-03-16 11:00:00+05:30","2026-03-16 11:00:00+05:30","2026-03-16 11:02:43+0530","2026-03-16 11:21:21+0530","TORNTPOWER","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","1434.81","1432.5","1444.6","1446.87","1419.03","SL","-12.1","-0.8447","260316170773736","260316170773755","260316170773760","","0.4793"
"LT-c0099a95-111613","c0099a95e2ec957e","2026-03-16 11:15:00+05:30","2026-03-16 11:15:00+05:30","2026-03-16 11:16:13+0530","2026-03-16 11:43:05+0530","GRINFRA","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","1","894.42","895.2","901.9","901.95","884.6","SL","-6.7","-0.7484","260316170835224","260316170835249","260316170835261","","0.4861"
"LT-8842ad2e-121745","8842ad2e634a43f6","2026-03-16 12:15:00+05:30","2026-03-16 12:15:00+05:30","2026-03-16 12:17:45+0530","","BIGBLOC","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","49.7","49.53","0.0","50.12","49.15","OPEN","0.0","0.0","260316171060311","260316171060323","260316171060328","","0.22"
"LT-ca90e4a9-130114","ca90e4a981dbc83c","2026-03-16 13:00:00+05:30","2026-03-16 13:00:00+05:30","2026-03-16 13:01:14+0530","","FINEORG","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","4279.14","4253.4","0.0","4315.1","4232.1","OPEN","0.0","0.0","260316171200415","260316171200422","260316171200424","","0.1336"
