"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-e48644f0-104638","e48644f0c26646cc","2026-03-13 10:45:00+05:30","2026-03-13 10:45:00+05:30","2026-03-13 10:46:38+0530","2026-03-13 10:51:46+0530","SHYAMMETL","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","325","767.17","772.39","772.39","760.26","SL","-1696.5","-0.6804","0.4251","0.0","1.0"
"PT-bfa2817d-103151","bfa2817da1d423e4","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:31:51+0530","2026-03-13 10:53:13+0530","WCIL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2772","89.95","90.56","90.56","89.14","SL","-1690.92","-0.6782","0.7034","0.0","1.0"
"PT-29eb77e8-104650","29eb77e849a08913","2026-03-13 10:45:00+05:30","2026-03-13 10:45:00+05:30","2026-03-13 10:46:50+0530","2026-03-13 11:22:25+0530","UNIONBANK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1428","174.83","176.02","176.02","173.26","SL","-1699.32","-0.6807","0.6353","0.0","1.0"
"PT-fdebb763-103119","fdebb7632daf721d","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:31:19+0530","2026-03-13 11:28:41+0530","NYKAA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1046","238.78","240.41","240.41","236.63","SL","-1704.98","-0.6826","0.7528","0.0","1.0"
"PT-8b26e830-103050","8b26e830f26308de","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:30:50+0530","2026-03-13 11:28:47+0530","HEROMOTOCO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","47","5191.4","5226.7","5226.7","5144.67","SL","-1659.1","-0.68","0.873","0.0","1.0"
"PT-67ef26af-103210","67ef26af5e8b47ac","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:32:10+0530","2026-03-13 11:31:53+0530","BODALCHEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","5706","43.68","43.98","43.98","43.29","SL","-1711.8","-0.6868","0.2624","0.0","1.0"
"PT-05941291-103108","0594129153714283","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:31:08+0530","2026-03-13 11:33:58+0530","LIKHITHA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1733","144.36","145.34","145.34","143.06","SL","-1698.34","-0.6789","0.3643","0.0","1.0"
"PT-31a33ddb-103058","31a33ddb57186a43","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:30:58+0530","2026-03-13 12:05:24+0530","IPL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1741","143.0","141.71","143.98","141.71","TARGET","2245.89","0.9021","0.4922","0.0","1.0"
"PT-8b4e3e2c-103133","8b4e3e2c679f327f","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:31:33+0530","2026-03-13 12:31:24+0530","SANOFI","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","70","3565.62","3533.53","3589.87","3533.53","TARGET","2246.3","0.9","0.8238","0.0","1.0"
"PT-3ba3f8c4-123159","3ba3f8c45d8bd103","2026-03-13 12:30:00+05:30","2026-03-13 12:30:00+05:30","2026-03-13 12:31:59+0530","2026-03-13 12:39:08+0530","YASHO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","194","1286.36","1295.11","1295.11","1274.78","SL","-1697.5","-0.6802","0.7229","0.0","1.0"
"PT-4106afad-124642","4106afadb4172b4c","2026-03-13 12:45:00+05:30","2026-03-13 12:45:00+05:30","2026-03-13 12:46:42+0530","2026-03-13 12:48:08+0530","SAPPHIRE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1594","156.82","157.89","157.89","155.41","SL","-1705.58","-0.6823","0.6908","0.0","1.0"
"PT-78564dca-123044","78564dcab39a50e0","2026-03-13 12:30:00+05:30","2026-03-13 12:30:00+05:30","2026-03-13 12:30:44+0530","2026-03-13 12:51:05+0530","GPTHEALTH","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2041","122.4","123.23","123.23","121.3","SL","-1694.03","-0.6781","0.601","0.0","1.0"
