"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-7e4f9130-104717","7e4f9130271d14bb","2026-03-13 10:45:00+05:30","2026-03-13 10:45:00+05:30","2026-03-13 10:47:17+0530","2026-03-13 11:28:23+0530","CANBK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1843","135.55","136.57","136.57","134.33","SL","-1879.86","-0.7525","0.4787","0.0","1.0"
"PT-5fc7fbfd-104555","5fc7fbfdfb0820aa","2026-03-13 10:45:00+05:30","2026-03-13 10:45:00+05:30","2026-03-13 10:45:55+0530","2026-03-13 11:28:47+0530","IDBI","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","2653","94.17","94.88","94.88","93.32","SL","-1883.63","-0.754","0.5416","0.0","1.0"
"PT-fdebb763-103119","fdebb7632daf721d","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:31:19+0530","2026-03-13 11:28:50+0530","NYKAA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1046","238.78","240.57","240.57","236.63","SL","-1872.34","-0.7496","0.7528","0.0","1.0"
"PT-8b26e830-103050","8b26e830f26308de","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:30:50+0530","2026-03-13 11:29:01+0530","HEROMOTOCO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","47","5191.4","5230.33","5230.33","5144.67","SL","-1829.71","-0.7499","0.873","0.0","1.0"
"PT-31a33ddb-103058","31a33ddb57186a43","2026-03-13 10:30:00+05:30","2026-03-13 10:30:00+05:30","2026-03-13 10:30:58+0530","2026-03-13 12:05:24+0530","IPL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1741","143.0","141.71","144.08","141.71","TARGET","2245.89","0.9021","0.4922","0.0","1.0"
"PT-3ba3f8c4-123158","3ba3f8c45d8bd103","2026-03-13 12:30:00+05:30","2026-03-13 12:30:00+05:30","2026-03-13 12:31:58+0530","2026-03-13 12:39:07+0530","YASHO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","194","1287.16","1296.82","1296.82","1275.58","SL","-1874.04","-0.7505","0.7229","0.0","1.0"
"PT-18045bb8-121657","18045bb8f8b59aee","2026-03-13 12:15:00+05:30","2026-03-13 12:15:00+05:30","2026-03-13 12:16:57+0530","2026-03-13 12:39:29+0530","UNOMINDA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","244","1021.49","1012.3","1029.15","1012.3","TARGET","2242.36","0.8997","0.6843","0.0","1.0"
"PT-4106afad-124642","4106afadb4172b4c","2026-03-13 12:45:00+05:30","2026-03-13 12:45:00+05:30","2026-03-13 12:46:42+0530","2026-03-13 12:48:13+0530","SAPPHIRE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1594","156.82","158.0","158.0","155.41","SL","-1880.92","-0.7525","0.6908","0.0","1.0"
"PT-78564dca-123044","78564dcab39a50e0","2026-03-13 12:30:00+05:30","2026-03-13 12:30:00+05:30","2026-03-13 12:30:44+0530","2026-03-13 12:52:40+0530","GPTHEALTH","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2041","122.4","123.32","123.32","121.3","SL","-1877.72","-0.7516","0.601","0.0","1.0"
"PT-51c07333-130253","51c07333be310104","2026-03-13 13:00:00+05:30","2026-03-13 13:00:00+05:30","2026-03-13 13:02:53+0530","2026-03-13 13:04:59+0530","ELGIEQUIP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","534","467.62","471.13","471.13","463.41","SL","-1874.34","-0.7506","0.96","0.0","1.0"
"PT-789f37cd-130108","789f37cd7f629e06","2026-03-13 13:00:00+05:30","2026-03-13 13:00:00+05:30","2026-03-13 13:01:08+0530","2026-03-13 13:05:41+0530","KIRLOSIND","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","93","2661.27","2681.23","2681.23","2637.32","SL","-1856.28","-0.75","0.4881","0.0","1.0"
"PT-6daba951-124709","6daba95155917b54","2026-03-13 12:45:00+05:30","2026-03-13 12:45:00+05:30","2026-03-13 12:47:09+0530","2026-03-13 13:11:22+0530","ABDL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","558","447.68","443.65","451.04","443.65","TARGET","2248.74","0.9002","0.6848","0.0","1.0"
