"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","filled_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","entry_order_id","target_order_id","sl_order_id","close_order_id","quality_score"
"LT-7f943496-113552","7f9434965857d45f","2026-03-10 10:45:00+05:30","2026-03-10 10:45:00+05:30","2026-03-10 11:35:52+0530","2026-03-10 12:22:14+0530","NAVINFLUOR","LONG","A_MOD_BREAK_C1_HIGH","nan","1","6536.47","6538.0","6500.0","6500.0","6610.0","SL","-38.0","-0.5812","260310170877853","260310170877865","260310170877869","","6.3795"
"LT-f9e6463e-124609","f9e6463ea047134e","2026-03-10 12:45:00+05:30","2026-03-10 12:45:00+05:30","2026-03-10 12:46:09+0530","2026-03-10 15:20:09+0530","MOIL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","276.94","276.2","276.2","278.1","273.7","EOD_FLAT_NO_FORCE_CLOSE","0.0","0.0","260310171157042","260310171157085","260310171157099","","0.7096"
"LT-8414bc6a-142537","8414bc6a9c52cc62","2026-03-10 14:15:00+05:30","2026-03-10 14:15:00+05:30","2026-03-10 14:25:38+0530","2026-03-10 14:32:45+0530","VINDHYATEL","LONG","B_HUGE_GREEN_PULLBACK_HOLD_THEN_BREAK","nan","1","1112.23","1116.6","1128.8","1110.1","1128.8","TARGET","12.2","1.0926","260310171597737","260310171597747","260310171597750","","6.6709"
"LT-ae95cc2e-142729","ae95cc2ed917d16e","2026-03-10 13:45:00+05:30","2026-03-10 13:45:00+05:30","2026-03-10 14:27:29+0530","2026-03-10 15:08:32+0530","MAZDOCK","LONG","B_HUGE_GREEN_PULLBACK_HOLD_THEN_BREAK","nan","1","2450.58","2451.4","2478.4","2437.2","2478.4","TARGET","27.0","1.1014","260310171607531","260310171607537","260310171607543","","6.2451"
