"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-2446faba-110421","2446faba9d9dcd33","2026-02-23 10:30:00+05:30","2026-02-23 10:30:00+05:30","2026-02-23 11:09:34+0530","2026-02-23 11:09:34+0530","PENIND","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1709","146.18","144.5","147.35","144.5","TARGET","2871.12","1.1493","0.5371","0.0","1.0"
"PT-95692069-122327","956920692596b097","2026-02-23 11:00:00+05:30","2026-02-23 11:00:00+05:30","2026-02-23 12:23:27+0530","2026-02-23 12:23:27+0530","UGROCAP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2187","114.24","115.16","115.16","112.93","SL","-2012.04","-0.8053","0.9557","0.0","1.0"
"PT-bf636e59-122327","bf636e5904545b75","2026-02-23 11:00:00+05:30","2026-02-23 11:00:00+05:30","2026-02-23 12:23:27+0530","2026-02-23 12:33:28+0530","TATAELXSI","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","52","4761.17","4706.38","4799.27","4706.38","TARGET","2849.08","1.1508","0.5883","0.0","1.0"
"PT-3d3052b8-122327","3d3052b8337e37a3","2026-02-23 10:15:00+05:30","2026-02-23 10:15:00+05:30","2026-02-23 12:23:27+0530","2026-02-23 12:52:19+0530","CIGNITITEC","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","193","1292.39","1277.52","1302.74","1277.52","TARGET","2869.91","1.1506","0.5808","0.0","1.0"
"PT-c4724f93-122327","c4724f93892bd5fc","2026-02-23 11:00:00+05:30","2026-02-23 11:00:00+05:30","2026-02-23 12:23:27+0530","2026-02-23 13:42:03+0530","LATENTVIEW","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","705","354.1","350.03","356.94","350.03","TARGET","2869.35","1.1494","0.96","0.0","1.0"
"PT-8a84f97d-143542","8a84f97d922f1027","2026-02-23 14:30:00+05:30","2026-02-23 14:30:00+05:30","2026-02-23 14:35:42+0530","2026-02-23 15:20:03+0530","MAZDOCK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","109","2283.8","2278.4","2302.08","2257.52","EOD_CLOSE","588.6","0.2364","0.7568","0.0","1.0"
