"signal_id","signal_datetime","received_time","detected_time_ist","logtime_ist","ticker","side","setup","impulse_type","entry_price","stop_price","target_price","quality_score","atr_pct","rsi","adx","quantity","signal_entry_datetime_ist","signal_bar_time_ist"
"f67044f3a4df896c","2026-03-09 11:30:00+05:30","2026-03-09 11:34:48+0530","2026-03-09 11:34:48+0530","2026-03-09 11:34:48+0530","PUNJABCHEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1029.9","1036.9","1020.63","0.4893","0.009199","29.2","35.2","242","2026-03-09 11:30:00+05:30","2026-03-09 11:30:00+05:30"
"cf6c6892cf1a60ff","2026-03-09 12:00:00+05:30","2026-03-09 12:02:57+0530","2026-03-09 12:02:57+0530","2026-03-09 12:02:57+0530","JKCEMENT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","5110.0","5144.75","5064.01","0.7921","0.009442","11.27","40.44","48","2026-03-09 12:00:00+05:30","2026-03-09 12:00:00+05:30"
"0e259bb65a780ac4","2026-03-09 12:15:00+05:30","2026-03-09 12:16:24+0530","2026-03-09 12:16:24+0530","2026-03-09 12:16:24+0530","RAMCOCEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1025.0","1031.97","1015.77","0.7592","0.00966","24.81","38.75","243","2026-03-09 12:15:00+05:30","2026-03-09 12:15:00+05:30"
"8d5a95f1af68fe44","2026-03-09 12:15:00+05:30","2026-03-09 12:17:15+0530","2026-03-09 12:17:15+0530","2026-03-09 12:17:15+0530","DELTACORP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","55.56","55.94","55.06","0.6155","0.008036","23.6","40.71","4499","2026-03-09 12:15:00+05:30","2026-03-09 12:15:00+05:30"
"5394d81e168d60d8","2026-03-09 12:45:00+05:30","2026-03-09 12:46:34+0530","2026-03-09 12:46:34+0530","2026-03-09 12:46:34+0530","TVSSRICHAK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","3455.0","3478.49","3423.9","0.7816","0.00943","19.25","42.95","72","2026-03-09 12:45:00+05:30","2026-03-09 12:45:00+05:30"
"1cff809a623e50f8","2026-03-09 14:00:00+05:30","2026-03-09 14:02:03+0530","2026-03-09 14:02:03+0530","2026-03-09 14:02:03+0530","MUFIN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","101.61","102.3","100.7","0.9092","0.004853","25.97","46.62","2460","2026-03-09 14:00:00+05:30","2026-03-09 14:00:00+05:30"
"d00588ecaa9a8215","2026-03-09 14:30:00+05:30","2026-03-09 14:31:41+0530","2026-03-09 14:31:41+0530","2026-03-09 14:31:41+0530","JSL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","707.6","712.41","701.23","0.8733","0.006177","21.98","44.73","353","2026-03-09 14:30:00+05:30","2026-03-09 14:30:00+05:30"
"dc4ff5fc2868cf2b","2026-03-09 14:30:00+05:30","2026-03-09 14:32:15+0530","2026-03-09 14:32:15+0530","2026-03-09 14:32:15+0530","PPL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","187.58","188.86","185.89","0.8328","0.005327","31.3","54.04","1332","2026-03-09 14:30:00+05:30","2026-03-09 14:30:00+05:30"
