"signal_id","signal_datetime","received_time","detected_time_ist","logtime_ist","ticker","side","setup","impulse_type","entry_price","stop_price","target_price","quality_score","atr_pct","rsi","adx","quantity","signal_entry_datetime_ist","signal_bar_time_ist"
"db257eb51ec9c9c0","2026-02-23 10:30:00+05:30","2026-02-23 11:04:19+0530","","","COFORGE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1304.74","1314.52","1289.08","0.6322","0.0","21.12","34.83","191","2026-02-23 10:30:00+05:30","2026-02-23 10:30:00+05:30"
"2446faba9d9dcd33","2026-02-23 10:30:00+05:30","2026-02-23 11:04:19+0530","","","PENIND","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","146.25","147.35","144.5","0.5371","0.0","29.33","27.37","1709","2026-02-23 10:30:00+05:30","2026-02-23 10:30:00+05:30"
"ac4d6b40362a4b78","2026-02-23 10:45:00+05:30","2026-02-23 11:19:31+0530","","","WIPRO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","205.47","207.01","203.0","0.599","0.0","17.48","25.93","1216","2026-02-23 10:45:00+05:30","2026-02-23 10:45:00+05:30"
"3d3052b8337e37a3","2026-02-23 10:15:00+05:30","2026-02-23 12:23:25+0530","","","CIGNITITEC","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1293.04","1302.74","1277.52","0.5808","0.0","25.18","35.6","193","2026-02-23 10:15:00+05:30","2026-02-23 10:15:00+05:30"
"c4724f93892bd5fc","2026-02-23 11:00:00+05:30","2026-02-23 12:23:25+0530","","","LATENTVIEW","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","354.28","356.94","350.03","0.96","0.0","16.23","52.82","705","2026-02-23 11:00:00+05:30","2026-02-23 11:00:00+05:30"
"bf636e5904545b75","2026-02-23 11:00:00+05:30","2026-02-23 12:23:25+0530","","","TATAELXSI","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","4763.55","4799.27","4706.38","0.5883","0.0","30.69","29.15","52","2026-02-23 11:00:00+05:30","2026-02-23 11:00:00+05:30"
"956920692596b097","2026-02-23 11:00:00+05:30","2026-02-23 12:23:25+0530","","","UGROCAP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","114.3","115.16","112.93","0.9557","0.0","7.93","63.53","2187","2026-02-23 11:00:00+05:30","2026-02-23 11:00:00+05:30"
"8a84f97d922f1027","2026-02-23 14:30:00+05:30","2026-02-23 14:35:40+0530","2026-02-23 14:35:40+0530","2026-02-23 14:35:40+0530","MAZDOCK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2284.94","2302.08","2257.52","0.7568","0.0","23.8","36.45","109","2026-02-23 14:30:00+05:30","2026-02-23 14:30:00+05:30"
