"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-bbb76ce3-110157","bbb76ce3a26f9d28","2026-02-25 11:00:00+05:30","2026-02-25 11:00:00+05:30","2026-02-25 11:01:57+0530","2026-02-25 11:25:56+0530","GANESHHOU","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","376","659.67","664.61","664.61","651.75","SL","-1857.44","-0.7489","0.6944","0.0","1.0"
"PT-b3f67107-114713","b3f67107a1b6099d","2026-02-25 11:45:00+05:30","2026-02-25 11:45:00+05:30","2026-02-25 11:47:13+0530","2026-02-25 12:34:09+0530","LICHSGFIN","LONG","B_HUGE_GREEN_PULLBACK_HOLD_THEN_BREAK","HUGE","455","550.38","546.25","546.25","558.64","SL","-1879.15","-0.7504","8.7955","0.0","1.0"
"PT-7d96eeba-121650","7d96eebadb594cd3","2026-02-25 12:15:00+05:30","2026-02-25 12:15:00+05:30","2026-02-25 12:16:50+0530","2026-02-25 12:37:52+0530","GRAPHITE","LONG","B_HUGE_GREEN_PULLBACK_HOLD_THEN_BREAK","HUGE","348","722.86","717.44","717.44","733.71","SL","-1886.16","-0.7498","7.8836","0.0","1.0"
"PT-056abcf5-131636","056abcf50c9076b7","2026-02-25 13:15:00+05:30","2026-02-25 13:15:00+05:30","2026-02-25 13:16:36+0530","2026-02-25 13:25:56+0530","CONCORDBIO","LONG","B_HUGE_GREEN_PULLBACK_HOLD_THEN_BREAK","HUGE","205","1236.02","1226.75","1226.75","1254.56","SL","-1900.35","-0.75","7.428","0.0","1.0"
"PT-83325f66-131641","83325f661ef5bdf1","2026-02-25 13:15:00+05:30","2026-02-25 13:15:00+05:30","2026-02-25 13:16:41+0530","2026-02-25 14:24:39+0530","EDELWEISS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2128","116.94","117.82","117.82","115.54","SL","-1872.64","-0.7525","0.6349","0.0","1.0"
"PT-b2fa651b-103141","b2fa651b5ff6ed00","2026-02-25 10:30:00+05:30","2026-02-25 10:30:00+05:30","2026-02-25 10:31:41+0530","2026-02-25 15:13:22+0530","CELLO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","597","417.99","412.97","421.12","412.97","TARGET","2996.94","1.201","0.8609","0.0","1.0"
