"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","filled_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","entry_order_id","target_order_id","sl_order_id","close_order_id","quality_score"
"LT-f67044f3-113450","f67044f3a4df896c","2026-03-09 11:30:00+05:30","2026-03-09 11:30:00+05:30","2026-03-09 11:34:51+0530","2026-03-09 14:26:32+0530","PUNJABCHEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","1029.9","1029.8","1040.8","1036.8","1020.5","SL","-11.0","-1.0682","260309171002168","260309171002195","260309171002198","","0.4893"
"LT-cf6c6892-120259","cf6c6892cf1a60ff","2026-03-09 12:00:00+05:30","2026-03-09 12:00:00+05:30","2026-03-09 12:02:59+0530","2026-03-09 13:00:22+0530","JKCEMENT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","5110.0","5109.0","5143.0","5144.0","5063.0","SL","-34.0","-0.6655","260309171097950","260309171097959","260309171097963","","0.7921"
"LT-0e259bb6-121626","0e259bb65a780ac4","2026-03-09 12:15:00+05:30","2026-03-09 12:15:00+05:30","2026-03-09 12:16:27+0530","2026-03-09 12:26:28+0530","RAMCOCEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","1025.0","1024.3","1015.1","1031.3","1015.1","TARGET","9.2","0.8982","260309171141505","260309171141516","260309171141520","","0.7592"
"LT-8d5a95f1-121717","8d5a95f1af68fe44","2026-03-09 12:15:00+05:30","2026-03-09 12:15:00+05:30","2026-03-09 12:17:17+0530","2026-03-09 12:28:13+0530","DELTACORP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","55.56","55.51","55.01","55.89","55.01","TARGET","0.5","0.9007","260309171143481","260309171143494","260309171143500","","0.6155"
"LT-5394d81e-124636","5394d81e168d60d8","2026-03-09 12:45:00+05:30","2026-03-09 12:45:00+05:30","2026-03-09 12:46:37+0530","2026-03-09 12:58:25+0530","TVSSRICHAK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","3455.0","3455.0","3478.8","3478.5","3423.9","SL","-23.8","-0.6889","260309171219851","260309171219865","260309171219868","","0.7816"
"LT-1cff809a-140205","1cff809a623e50f8","2026-03-09 14:00:00+05:30","2026-03-09 14:00:00+05:30","2026-03-09 14:02:05+0530","2026-03-09 14:48:59+0530","MUFIN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","101.61","101.71","102.68","102.4","100.8","SL","-0.97","-0.9537","260309171433751","260309171433760","260309171433765","","0.9092"
"LT-d00588ec-143144","d00588ecaa9a8215","2026-03-09 14:30:00+05:30","2026-03-09 14:30:00+05:30","2026-03-09 14:31:44+0530","2026-03-09 14:41:02+0530","JSL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","707.6","707.95","712.95","712.75","701.6","SL","-5.0","-0.7063","260309171521683","260309171521690","260309171521694","","0.8733"
"LT-dc4ff5fc-143217","dc4ff5fc2868cf2b","2026-03-09 14:30:00+05:30","2026-03-09 14:30:00+05:30","2026-03-09 14:32:17+0530","2026-03-09 14:48:22+0530","PPL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","187.58","187.21","188.0","188.49","185.52","SL","-0.79","-0.422","260309171524154","260309171524190","260309171524194","","0.8328"
