"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-a40f86b3-110114","a40f86b348644a1f","2026-03-04 11:00:00+05:30","2026-03-04 11:00:00+05:30","2026-03-04 11:01:14+0530","2026-03-04 11:06:42+0530","SAIL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1627","153.53","154.68","154.68","151.69","SL","-1871.05","-0.749","0.6513","0.0","1.0"
"PT-42983579-110107","429835796f55bd9c","2026-03-04 11:00:00+05:30","2026-03-04 11:00:00+05:30","2026-03-04 11:01:07+0530","2026-03-04 11:12:05+0530","PNB","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2055","121.53","122.44","122.44","120.07","SL","-1870.05","-0.7488","0.7962","0.0","1.0"
"PT-b9b7837f-111556","b9b7837f61d26f1f","2026-03-04 11:15:00+05:30","2026-03-04 11:15:00+05:30","2026-03-04 11:15:56+0530","2026-03-04 12:16:06+0530","KSCL","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","346","721.94","713.27","727.36","713.27","TARGET","2999.82","1.2009","0.6662","0.0","1.0"
"PT-996b0c94-110117","996b0c948af3083e","2026-03-04 11:00:00+05:30","2026-03-04 11:00:00+05:30","2026-03-04 11:01:17+0530","2026-03-04 12:22:00+0530","SHARDACROP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","236","1056.57","1043.89","1064.5","1043.89","TARGET","2992.48","1.2001","0.8043","0.0","1.0"
"PT-3db929c7-113040","3db929c78241e280","2026-03-04 11:30:00+05:30","2026-03-04 11:30:00+05:30","2026-03-04 11:30:40+0530","2026-03-04 13:03:51+0530","HINDCOPPER","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","459","544.28","548.36","548.36","537.75","SL","-1872.72","-0.7496","0.6552","0.0","1.0"
"PT-7dd40385-113050","7dd403853b6e910c","2026-03-04 11:30:00+05:30","2026-03-04 11:30:00+05:30","2026-03-04 11:30:50+0530","2026-03-04 13:09:34+0530","JKIL","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","519","481.01","484.62","484.62","475.24","SL","-1873.59","-0.7505","0.8616","0.0","1.0"
"PT-c5316893-121706","c5316893a7872cad","2026-03-04 11:45:00+05:30","2026-03-04 11:45:00+05:30","2026-03-04 12:17:06+0530","2026-03-04 13:16:12+0530","ALLDIGI","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","322","780.16","786.01","786.01","770.8","SL","-1883.7","-0.7498","0.901","0.0","1.0"
"PT-931eccfc-111609","931eccfcb666939c","2026-03-04 11:15:00+05:30","2026-03-04 11:15:00+05:30","2026-03-04 11:16:09+0530","2026-03-04 13:24:11+0530","PGEL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","429","582.11","586.48","586.48","575.12","SL","-1874.73","-0.7507","0.5946","0.0","1.0"
"PT-b7c8e44f-104636","b7c8e44fbf49f3d7","2026-03-04 10:45:00+05:30","2026-03-04 10:45:00+05:30","2026-03-04 10:46:36+0530","2026-03-04 13:36:13+0530","UNITDSPR","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","187","1335.23","1319.21","1345.24","1319.21","TARGET","2995.74","1.1998","0.5859","0.0","1.0"
"PT-6c0801a6-111546","6c0801a6f1bfed2e","2026-03-04 11:15:00+05:30","2026-03-04 11:15:00+05:30","2026-03-04 11:15:46+0530","2026-03-04 13:38:54+0530","INDOAMIN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2464","101.41","100.19","102.17","100.19","TARGET","3006.08","1.203","0.4948","0.0","1.0"
"PT-a9208b3a-111635","a9208b3a6fecb903","2026-03-04 11:15:00+05:30","2026-03-04 11:15:00+05:30","2026-03-04 11:16:35+0530","2026-03-04 13:48:35+0530","ZYDUSLIFE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","280","891.5","898.19","898.19","880.8","SL","-1873.2","-0.7504","0.5812","0.0","1.0"
"PT-ae0e9059-113047","ae0e905911666e5e","2026-03-04 11:30:00+05:30","2026-03-04 11:30:00+05:30","2026-03-04 11:30:47+0530","2026-03-04 14:22:40+0530","IPCALAB","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","170","1463.57","1474.54","1474.54","1446.01","SL","-1864.9","-0.7495","0.7334","0.0","1.0"
"PT-e34b78a7-131721","e34b78a78529e8af","2026-03-04 12:15:00+05:30","2026-03-04 12:15:00+05:30","2026-03-04 13:17:21+0530","2026-03-04 14:38:50+0530","CYIENT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","284","881.21","887.82","887.82","870.64","SL","-1877.24","-0.7501","0.7446","0.0","1.0"
"PT-29806e60-131721","29806e6004cc0520","2026-03-04 11:45:00+05:30","2026-03-04 11:45:00+05:30","2026-03-04 13:17:21+0530","2026-03-04 14:46:16+0530","DEEPAKNTR","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","170","1476.16","1487.23","1487.23","1458.44","SL","-1881.9","-0.7499","0.96","0.0","1.0"
"PT-7d281826-131721","7d2818260c07d02d","2026-03-04 11:45:00+05:30","2026-03-04 11:45:00+05:30","2026-03-04 13:17:21+0530","2026-03-04 14:53:54+0530","FACT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","370","670.16","675.19","675.19","662.11","SL","-1861.1","-0.7506","0.8204","0.0","1.0"
"PT-fd8f843d-111709","fd8f843db53dd88e","2026-03-04 11:15:00+05:30","2026-03-04 11:15:00+05:30","2026-03-04 11:17:09+0530","2026-03-04 15:10:27+0530","DOMS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","113","2192.9","2209.35","2209.35","2166.58","SL","-1858.85","-0.7501","0.7469","0.0","1.0"
