"signal_id","signal_datetime","received_time","detected_time_ist","logtime_ist","ticker","side","setup","impulse_type","entry_price","stop_price","target_price","quality_score","atr_pct","rsi","adx","quantity","signal_entry_datetime_ist","signal_bar_time_ist"
"ef450b836ee46c19","2026-03-09 10:30:00+05:30","2026-03-09 10:41:37+0530","2026-03-09 10:41:37+0530","2026-03-09 10:41:37+0530","AUBANK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","919.0","925.89","907.97","0.6036","0.007402","15.08","32.48","272","2026-03-09 10:30:00+05:30","2026-03-09 10:30:00+05:30"
"312d4ce6b2e45daa","2026-03-09 11:00:00+05:30","2026-03-09 11:01:08+0530","2026-03-09 11:01:08+0530","2026-03-09 11:01:08+0530","MOL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","44.12","44.45","43.59","0.7139","0.011926","13.65","33.6","5666","2026-03-09 11:00:00+05:30","2026-03-09 11:00:00+05:30"
"ad4b36b922e3a8d7","2026-03-09 11:00:00+05:30","2026-03-09 11:01:25+0530","2026-03-09 11:01:25+0530","2026-03-09 11:01:25+0530","RELIGARE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","198.43","199.92","196.05","0.4661","0.008305","28.91","28.47","1259","2026-03-09 11:00:00+05:30","2026-03-09 11:00:00+05:30"
"4bc5038ba4719d2f","2026-03-09 11:00:00+05:30","2026-03-09 11:01:42+0530","2026-03-09 11:01:42+0530","2026-03-09 11:01:42+0530","TIMETECHNO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","166.61","167.86","164.61","0.6382","0.009363","17.54","36.19","1500","2026-03-09 11:00:00+05:30","2026-03-09 11:00:00+05:30"
"f67044f3a4df896c","2026-03-09 11:30:00+05:30","2026-03-09 11:34:44+0530","2026-03-09 11:34:44+0530","2026-03-09 11:34:44+0530","PUNJABCHEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1029.9","1037.62","1017.54","0.4893","0.009199","29.2","35.2","242","2026-03-09 11:30:00+05:30","2026-03-09 11:30:00+05:30"
"cf6c6892cf1a60ff","2026-03-09 12:00:00+05:30","2026-03-09 12:02:56+0530","2026-03-09 12:02:56+0530","2026-03-09 12:02:56+0530","JKCEMENT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","5110.0","5148.32","5048.68","0.7921","0.009442","11.27","40.44","48","2026-03-09 12:00:00+05:30","2026-03-09 12:00:00+05:30"
"0e259bb65a780ac4","2026-03-09 12:15:00+05:30","2026-03-09 12:16:25+0530","2026-03-09 12:16:25+0530","2026-03-09 12:16:25+0530","RAMCOCEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1025.0","1032.69","1012.7","0.7592","0.00966","24.81","38.75","243","2026-03-09 12:15:00+05:30","2026-03-09 12:15:00+05:30"
"5394d81e168d60d8","2026-03-09 12:45:00+05:30","2026-03-09 12:46:34+0530","2026-03-09 12:46:34+0530","2026-03-09 12:46:34+0530","TVSSRICHAK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","3455.0","3480.91","3413.54","0.7816","0.00943","19.25","42.95","72","2026-03-09 12:45:00+05:30","2026-03-09 12:45:00+05:30"
