"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","filled_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","entry_order_id","target_order_id","sl_order_id","close_order_id","quality_score"
"LT-ef450b83-104139","ef450b836ee46c19","2026-03-09 10:30:00+05:30","2026-03-09 10:30:00+05:30","2026-03-09 10:41:39+0530","2026-03-09 11:28:27+0530","AUBANK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","919.0","919.0","926.2","925.9","910.75","SL","-7.2","-0.7835","260309170769076","260309170769092","260309170769095","","0.6036"
"LT-312d4ce6-110110","312d4ce6b2e45daa","2026-03-09 11:00:00+05:30","2026-03-09 11:00:00+05:30","2026-03-09 11:01:10+0530","2026-03-09 11:11:18+0530","MOL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","44.12","44.06","44.39","44.39","43.66","SL","-0.33","-0.749","260309170868307","260309170868316","260309170868323","","0.7139"
"LT-ad4b36b9-110127","ad4b36b922e3a8d7","2026-03-09 11:00:00+05:30","2026-03-09 11:00:00+05:30","2026-03-09 11:01:28+0530","2026-03-09 11:16:41+0530","RELIGARE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","198.43","198.37","196.58","199.86","196.58","TARGET","1.79","0.9024","260309170869881","260309170869903","260309170869912","","0.4661"
"LT-4bc5038b-110144","4bc5038ba4719d2f","2026-03-09 11:00:00+05:30","2026-03-09 11:00:00+05:30","2026-03-09 11:01:44+0530","2026-03-09 12:00:37+0530","TIMETECHNO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","166.61","166.49","164.99","167.74","164.99","TARGET","1.5","0.901","260309170871177","260309170871183","260309170871188","","0.6382"
"LT-f67044f3-113447","f67044f3a4df896c","2026-03-09 11:30:00+05:30","2026-03-09 11:30:00+05:30","2026-03-09 11:34:47+0530","","PUNJABCHEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","1029.9","0.0","0.0","1037.62","1020.63","ENTRY_PENDING","0.0","0.0","","","","","0.4893"
"LT-cf6c6892-120259","cf6c6892cf1a60ff","2026-03-09 12:00:00+05:30","2026-03-09 12:00:00+05:30","2026-03-09 12:02:59+0530","","JKCEMENT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","5110.0","0.0","0.0","5148.32","5064.01","ENTRY_PENDING","0.0","0.0","","","","","0.7921"
"LT-0e259bb6-122453","0e259bb65a780ac4","2026-03-09 12:15:00+05:30","2026-03-09 12:15:00+05:30","2026-03-09 12:24:53+0530","2026-03-09 12:39:42+0530","RAMCOCEM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","1025.0","1020.5","1012.3","1028.2","1012.3","TARGET","8.2","0.8035","260309171163687","260309171163704","260309171163708","","0.7592"
"LT-5394d81e-124636","5394d81e168d60d8","2026-03-09 12:45:00+05:30","2026-03-09 12:45:00+05:30","2026-03-09 12:46:36+0530","2026-03-09 13:01:06+0530","TVSSRICHAK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1","3455.0","3455.0","3482.5","3480.9","3427.4","SL","-27.5","-0.7959","260309171219848","260309171219856","260309171219859","","0.7816"
