"signal_id","signal_datetime","received_time","detected_time_ist","logtime_ist","ticker","side","setup","impulse_type","entry_price","stop_price","target_price","quality_score","atr_pct","rsi","adx","quantity","signal_entry_datetime_ist","signal_bar_time_ist"
"a5882796a690356f","2026-02-26 12:15:00+05:30","2026-02-26 12:17:52+0530","2026-02-26 12:17:52+0530","2026-02-26 12:17:52+0530","MUTHOOTFIN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","3443.0","3468.82","3401.68","0.5671","0.004301","31.48","25.59","72","2026-02-26 12:15:00+05:30","2026-02-26 12:15:00+05:30"
"2a27f6d8794448eb","2026-02-26 12:15:00+05:30","2026-02-26 12:18:28+0530","2026-02-26 12:18:28+0530","2026-02-26 12:18:28+0530","TRENT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","3866.4","3895.4","3820.0","0.6384","0.004464","26.11","28.56","64","2026-02-26 12:15:00+05:30","2026-02-26 12:15:00+05:30"
"c43074b9793a140a","2026-02-26 12:30:00+05:30","2026-02-26 12:33:02+0530","2026-02-26 12:33:02+0530","2026-02-26 12:33:02+0530","REMSONSIND","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","111.2","112.03","109.87","0.4756","0.006682","38.84","27.18","2248","2026-02-26 12:30:00+05:30","2026-02-26 12:30:00+05:30"
"b19d137ce866bd48","2026-02-26 13:30:00+05:30","2026-02-26 13:31:43+0530","2026-02-26 13:31:43+0530","2026-02-26 13:31:43+0530","ARVINDFASN","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","434.1","437.36","428.89","0.8032","0.003369","27.85","39.54","575","2026-02-26 13:30:00+05:30","2026-02-26 13:30:00+05:30"
