"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-ad4b36b9-110125","ad4b36b922e3a8d7","2026-03-09 11:00:00+05:30","2026-03-09 11:00:00+05:30","2026-03-09 11:01:25+0530","2026-03-09 11:24:48+0530","RELIGARE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1258","198.33","199.82","199.82","195.95","SL","-1874.42","-0.7513","0.4661","0.0","1.0"
"PT-ef450b83-104157","ef450b836ee46c19","2026-03-09 10:30:00+05:30","2026-03-09 10:30:00+05:30","2026-03-09 10:41:57+0530","2026-03-09 11:28:19+0530","AUBANK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","271","918.79","925.68","925.68","907.77","SL","-1867.19","-0.7499","0.6036","0.0","1.0"
"PT-312d4ce6-110108","312d4ce6b2e45daa","2026-03-09 11:00:00+05:30","2026-03-09 11:00:00+05:30","2026-03-09 11:01:08+0530","2026-03-09 11:30:32+0530","MOL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","5668","44.08","44.41","44.41","43.55","SL","-1870.44","-0.7486","0.7139","0.0","1.0"
