"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-d53b1a2f-111807","d53b1a2f92f3e1c2","2026-03-11 11:00:00+05:30","2026-03-11 11:00:00+05:30","2026-03-11 11:18:07+0530","2026-03-11 11:18:48+0530","IONEXCHANG","LONG","B_HUGE_GREEN_PULLBACK_HOLD_THEN_BREAK","nan","647","387.09","384.85","384.85","391.35","SL","-1449.28","-0.5787","8.9179","0.0","1.0"
"PT-a616b1fa-122127","a616b1fa1d53a97e","2026-03-11 12:15:00+05:30","2026-03-11 12:15:00+05:30","2026-03-11 12:21:27+0530","2026-03-11 12:28:41+0530","AWL","LONG","B_HUGE_C1_CLOSE_RECLAIM_BREAK","nan","1301","192.14","194.25","191.03","194.25","TARGET","2745.11","1.0982","9.4964","0.0","1.0"
"PT-8bd103be-103429","8bd103be4485127a","2026-03-11 10:30:00+05:30","2026-03-11 10:30:00+05:30","2026-03-11 10:34:29+0530","2026-03-11 12:36:59+0530","ORCHPHARMA","LONG","A_MOD_BREAK_C1_HIGH","nan","479","521.51","518.49","518.49","527.25","SL","-1446.58","-0.5791","5.4664","0.0","1.0"
"PT-0086cef4-120143","0086cef47ecf2f1f","2026-03-11 12:00:00+05:30","2026-03-11 12:00:00+05:30","2026-03-11 12:01:43+0530","2026-03-11 12:53:38+0530","AEGISLOG","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","397","629.19","623.52","633.47","623.52","TARGET","2250.99","0.9012","0.7549","0.0","1.0"
"PT-619ed7d5-125231","619ed7d537c25123","2026-03-11 12:15:00+05:30","2026-03-11 12:15:00+05:30","2026-03-11 12:52:31+0530","2026-03-11 13:12:47+0530","NEULANDLAB","LONG","B_HUGE_GREEN_PULLBACK_HOLD_THEN_BREAK","nan","19","13013.5","12938.03","12938.03","13156.65","SL","-1433.93","-0.5799","281.2918","0.0","1.0"
"PT-d6da171d-121428","d6da171dd10c6ccc","2026-03-11 11:30:00+05:30","2026-03-11 11:30:00+05:30","2026-03-11 12:14:28+0530","2026-03-11 13:16:19+0530","GRAPHITE","LONG","A_MOD_BREAK_C1_HIGH","nan","379","658.78","654.96","654.96","666.02","SL","-1447.78","-0.5799","5.2415","0.0","1.0"
"PT-17765753-130047","177657533a0b73fd","2026-03-11 13:00:00+05:30","2026-03-11 13:00:00+05:30","2026-03-11 13:00:47+0530","2026-03-11 13:42:24+0530","HDFCBANK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","301","827.74","833.37","833.37","820.29","SL","-1694.63","-0.6802","0.7563","0.0","1.0"
"PT-98ec5879-134541","98ec5879b4c7cb8b","2026-03-11 13:45:00+05:30","2026-03-11 13:45:00+05:30","2026-03-11 13:45:41+0530","2026-03-11 14:28:30+0530","GODREJCP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","228","1094.75","1102.2","1102.2","1084.89","SL","-1698.6","-0.6805","0.6994","0.0","1.0"
"PT-b009bcc8-141706","b009bcc86880d0d5","2026-03-11 14:15:00+05:30","2026-03-11 14:15:00+05:30","2026-03-11 14:17:06+0530","2026-03-11 14:42:00+0530","APLAPOLLO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","125","1995.3","2008.86","2008.86","1977.34","SL","-1695.0","-0.6796","0.5468","0.0","1.0"
