"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-e9057f96-105133","e9057f96872a9430","2026-02-25 10:15:00+05:30","2026-02-25 10:15:00+05:30","2026-02-25 10:51:33+0530","2026-02-25 10:53:39+0530","CHALET","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","299","813.34","819.44","819.44","803.58","SL","-1823.9","-0.75","0.8363","0.0","1.0"
"PT-e9057f96-105749","e9057f96872a9430","2026-02-25 10:15:00+05:30","2026-02-25 10:15:00+05:30","2026-02-25 10:57:49+0530","2026-02-25 11:22:13+0530","CHALET","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","299","815.49","805.7","821.61","805.7","TARGET","2927.21","1.2005","0.8363","0.0","1.0"
"PT-bbb76ce3-112215","bbb76ce3a26f9d28","2026-02-25 11:00:00+05:30","2026-02-25 11:00:00+05:30","2026-02-25 11:22:15+0530","2026-02-25 11:50:31+0530","GANESHHOU","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","376","663.27","668.24","668.24","655.31","SL","-1868.72","-0.7493","0.6944","0.0","1.0"
"PT-b3f67107-115118","b3f67107a1b6099d","2026-02-25 11:45:00+05:30","2026-02-25 11:45:00+05:30","2026-02-25 11:51:18+0530","2026-02-25 12:34:11+0530","LICHSGFIN","LONG","B_HUGE_GREEN_PULLBACK_HOLD_THEN_BREAK","HUGE","455","550.17","546.04","546.04","558.42","SL","-1879.15","-0.7507","8.7955","0.0","1.0"
"PT-7d96eeba-122141","7d96eebadb594cd3","2026-02-25 12:15:00+05:30","2026-02-25 12:15:00+05:30","2026-02-25 12:21:41+0530","2026-02-25 12:35:44+0530","GRAPHITE","LONG","B_HUGE_GREEN_PULLBACK_HOLD_THEN_BREAK","HUGE","348","723.96","718.54","718.54","734.83","SL","-1886.16","-0.7487","7.8836","0.0","1.0"
"PT-056abcf5-132144","056abcf50c9076b7","2026-02-25 13:15:00+05:30","2026-02-25 13:15:00+05:30","2026-02-25 13:21:44+0530","2026-02-25 13:27:22+0530","CONCORDBIO","LONG","B_HUGE_GREEN_PULLBACK_HOLD_THEN_BREAK","HUGE","205","1228.91","1219.69","1219.69","1247.35","SL","-1890.1","-0.7503","7.428","0.0","1.0"
"PT-83325f66-132144","83325f661ef5bdf1","2026-02-25 13:15:00+05:30","2026-02-25 13:15:00+05:30","2026-02-25 13:21:44+0530","2026-02-25 14:24:35+0530","EDELWEISS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2128","116.88","117.76","117.76","115.48","SL","-1872.64","-0.7529","0.6349","0.0","1.0"
"PT-b2fa651b-105707","b2fa651b5ff6ed00","2026-02-25 10:30:00+05:30","2026-02-25 10:30:00+05:30","2026-02-25 10:57:07+0530","2026-02-25 15:20:03+0530","CELLO","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","597","417.34","414.0","420.47","412.33","EOD_CLOSE","1993.98","0.8003","0.8609","0.0","1.0"
