"signal_id","signal_datetime","received_time","detected_time_ist","logtime_ist","ticker","side","setup","impulse_type","entry_price","stop_price","target_price","quality_score","atr_pct","rsi","adx","quantity","signal_entry_datetime_ist","signal_bar_time_ist"
"909ec47c366cd6f6","2026-02-27 10:30:00+05:30","2026-02-27 10:33:28+0530","2026-02-27 10:33:28+0530","2026-02-27 10:33:28+0530","EMAMILTD","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","466.5","470.0","460.9","0.6248","0.003758","26.21","28.63","535","2026-02-27 10:30:00+05:30","2026-02-27 10:30:00+05:30"
"4e5b3feb0546d7d7","2026-02-27 10:45:00+05:30","2026-02-27 10:48:31+0530","2026-02-27 10:48:31+0530","2026-02-27 10:48:31+0530","SBFC","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","94.65","95.36","93.51","0.6037","0.004596","29.03","33.57","2641","2026-02-27 10:45:00+05:30","2026-02-27 10:45:00+05:30"
"41338b99f3e7e988","2026-02-27 11:00:00+05:30","2026-02-27 11:03:39+0530","2026-02-27 11:03:39+0530","2026-02-27 11:03:39+0530","KARURVYSYA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","326.0","328.45","322.09","0.7589","0.007375","19.92","42.31","766","2026-02-27 11:00:00+05:30","2026-02-27 11:00:00+05:30"
"fea6a944bf146c82","2026-02-27 11:15:00+05:30","2026-02-27 11:18:35+0530","2026-02-27 11:18:35+0530","2026-02-27 11:18:35+0530","CREDITACC","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1270.8","1280.33","1255.55","0.8366","0.007971","19.8","41.77","196","2026-02-27 11:15:00+05:30","2026-02-27 11:15:00+05:30"
"c65111bea00e0094","2026-02-27 12:00:00+05:30","2026-02-27 12:03:43+0530","2026-02-27 12:03:43+0530","2026-02-27 12:03:43+0530","JKTYRE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","508.65","512.46","502.55","0.7721","0.008142","24.19","37.58","491","2026-02-27 12:00:00+05:30","2026-02-27 12:00:00+05:30"
"47c576301079862c","2026-02-27 13:15:00+05:30","2026-02-27 13:16:43+0530","2026-02-27 13:16:43+0530","2026-02-27 13:16:43+0530","SAFARI","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","1801.4","1814.91","1779.78","0.6262","0.00487","30.0","38.75","138","2026-02-27 13:15:00+05:30","2026-02-27 13:15:00+05:30"
"c285e2426e0be0b7","2026-02-27 14:00:00+05:30","2026-02-27 14:37:55+0530","2026-02-27 14:37:55+0530","2026-02-27 14:37:55+0530","KDDL","LONG","B_HUGE_GREEN_PULLBACK_HOLD_THEN_BREAK","","2443.21","2428.55","2487.19","8.668","0.0","0.0","0.0","102","2026-02-27 14:00:00+05:30","2026-02-27 14:00:00+05:30"
