"signal_id","signal_datetime","received_time","detected_time_ist","logtime_ist","ticker","side","setup","impulse_type","entry_price","stop_price","target_price","quality_score","atr_pct","rsi","adx","quantity","signal_entry_datetime_ist","signal_bar_time_ist"
"0086cef47ecf2f1f","2026-03-11 12:00:00+05:30","2026-03-11 12:01:41+0530","2026-03-11 12:01:41+0530","2026-03-11 12:01:41+0530","AEGISLOG","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","629.5","634.22","621.95","0.7549","0.005783","26.17","36.33","397","2026-03-11 12:00:00+05:30","2026-03-11 12:00:00+05:30"
"177657533a0b73fd","2026-03-11 13:00:00+05:30","2026-03-11 13:00:44+0530","2026-03-11 13:00:44+0530","2026-03-11 13:00:44+0530","HDFCBANK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","828.1","834.31","818.16","0.7563","0.003361","24.62","36.42","301","2026-03-11 13:00:00+05:30","2026-03-11 13:00:00+05:30"
"98ec5879b4c7cb8b","2026-03-11 13:45:00+05:30","2026-03-11 13:45:39+0530","2026-03-11 13:45:39+0530","2026-03-11 13:45:39+0530","GODREJCP","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1095.3","1103.51","1082.16","0.6994","0.003832","34.62","34.76","228","2026-03-11 13:45:00+05:30","2026-03-11 13:45:00+05:30"
