"signal_id","signal_datetime","received_time","detected_time_ist","logtime_ist","ticker","side","setup","impulse_type","entry_price","stop_price","target_price","quality_score","atr_pct","rsi","adx","quantity","signal_entry_datetime_ist","signal_bar_time_ist"
"c570d3e38671971d","2026-03-12 10:30:00+05:30","2026-03-12 10:41:39+0530","2026-03-12 10:41:39+0530","2026-03-12 10:41:39+0530","MAPMYINDIA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","955.91","962.41","947.31","0.6097","0.006776","14.98","35.1","261","2026-03-12 10:30:00+05:30","2026-03-12 10:30:00+05:30"
"bc8622b25dfaca20","2026-03-12 10:30:00+05:30","2026-03-12 10:41:51+0530","2026-03-12 10:41:51+0530","2026-03-12 10:41:51+0530","NILKAMAL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1297.74","1306.57","1286.06","0.3731","0.005635","32.55","26.21","192","2026-03-12 10:30:00+05:30","2026-03-12 10:30:00+05:30"
"b86a98f92c8adf90","2026-03-12 10:30:00+05:30","2026-03-12 10:43:00+0530","2026-03-12 10:43:00+0530","2026-03-12 10:43:00+0530","AVALON","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","915.22","921.44","906.98","0.5073","0.010172","25.85","34.16","273","2026-03-12 10:30:00+05:30","2026-03-12 10:30:00+05:30"
"f24d89acd52f8b9a","2026-03-12 11:00:00+05:30","2026-03-12 11:02:09+0530","2026-03-12 11:02:09+0530","2026-03-12 11:02:09+0530","ASHOKLEY","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","179.08","180.3","177.47","0.7506","0.009014","19.16","54.24","1396","2026-03-12 11:00:00+05:30","2026-03-12 11:00:00+05:30"
