"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-e9b3b5d2-103123","e9b3b5d2652677b6","2026-03-02 10:30:00+05:30","2026-03-02 10:30:00+05:30","2026-03-02 10:31:23+0530","2026-03-02 10:31:23+0530","ROHLTD","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","715","349.33","349.33","352.12","345.31","NO_LTP_SIMULATED","0.0","0.0","0.3949","0.0","1.0"
"PT-1704dabb-104556","1704dabb16acb40b","2026-03-02 10:45:00+05:30","2026-03-02 10:45:00+05:30","2026-03-02 10:45:56+0530","2026-03-02 11:19:04+0530","JTLIND","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","4181","59.76","59.04","60.21","59.04","TARGET","3010.32","1.2048","0.449","0.0","1.0"
"PT-d62938b7-110109","d62938b7ce40410a","2026-03-02 11:00:00+05:30","2026-03-02 11:00:00+05:30","2026-03-02 11:01:09+0530","2026-03-02 12:18:12+0530","MOTHERSON","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1941","128.69","127.14","129.66","127.14","TARGET","3008.55","1.2044","0.7656","0.0","1.0"
"PT-e9b3b5d2-103550","e9b3b5d2652677b6","2026-03-02 10:30:00+05:30","2026-03-02 10:30:00+05:30","2026-03-02 10:35:50+0530","2026-03-02 12:19:27+0530","ROHLTD","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","715","349.38","345.19","352.0","345.19","TARGET","2995.85","1.1993","0.3949","0.0","1.0"
"PT-cf1031c7-122747","cf1031c7bb413c5a","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 12:27:47+0530","2026-03-02 12:27:54+0530","PAYTM","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","235","1061.67","1049.45","1070.17","1049.45","TARGET","2871.7","1.151","0.7399","0.0","1.0"
"PT-403461a4-122747","403461a4d3f5a170","2026-03-02 11:45:00+05:30","2026-03-02 11:45:00+05:30","2026-03-02 12:27:47+0530","2026-03-02 12:30:47+0530","SUNTECK","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","637","392.05","387.54","395.19","387.54","TARGET","2872.87","1.1504","0.5862","0.0","1.0"
"PT-f3901d38-122748","f3901d38f478727d","2026-03-02 12:00:00+05:30","2026-03-02 12:00:00+05:30","2026-03-02 12:27:48+0530","2026-03-02 12:32:11+0530","IXIGO","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","1530","162.66","163.88","163.88","160.71","SL","-1866.6","-0.75","0.693","0.0","1.0"
"PT-26e28f6d-110040","26e28f6d79de9ec8","2026-03-02 11:00:00+05:30","2026-03-02 11:00:00+05:30","2026-03-02 11:00:40+0530","2026-03-02 12:39:59+0530","GMRAIRPORT","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","2579","96.88","95.72","97.61","95.72","TARGET","2991.64","1.1974","0.5825","0.0","1.0"
"PT-ccf5d671-123147","ccf5d67196368485","2026-03-02 12:30:00+05:30","2026-03-02 12:30:00+05:30","2026-03-02 12:31:47+0530","2026-03-02 12:41:25+0530","VRLLOG","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","933","267.62","269.63","269.63","264.41","SL","-1875.33","-0.7511","0.8038","0.0","1.0"
"PT-9960d4c6-113040","9960d4c6dcc4e9f6","2026-03-02 11:30:00+05:30","2026-03-02 11:30:00+05:30","2026-03-02 11:30:40+0530","2026-03-02 12:43:40+0530","GRAPHITE","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","358","697.95","703.19","703.19","689.57","SL","-1875.92","-0.7508","0.5895","0.0","1.0"
